DOT,6.637
EUR,1.0800176187340316
BTC,42125.685
ETH,2271.285
BAT,0.21893
SOL,94.61
ORCA,4.8504
MATIC,0.7758
SHIB,8.875e-06
ONDO,0.20419
ATOM,9.0285
XTZ,0.9485
API3,2.712
SUPER,0.58476
SWFTC,0.0016315
NCT,0.010785
MPL,11.295
AUCTION,23.82
CGLD,0.646
SUKU,0.05015
BONK,1.0425e-05
RAI,2.845
ALEPH,0.26905
VARA,0.065885
LDO,2.7775
CHZ,0.0996
ARPA,0.05635
RBN,0.425435
AURORA,0.2265
WBTC,42182.95
GAL,1.7435
QI,0.01491
SHPING,0.003852
XYO,0.00516
IOTX,0.040855
SYN,0.6975
HOPR,0.06535
GST,0.0114015
FOX,0.03615
RARE,0.10415
MEDIA,14.025
SPELL,0.0004813
SAND,0.43235
CLV,0.0445
BIGTIME,0.33444
EUROC,1.08195
HNT,7.3505
RNDR,4.4659
ADA,0.49055
ICP,11.3765
ARB,1.71595
SBONK,1e-07
APE,1.425
AI,1e-07
POLYDOGE,6.236951896984956e-09
BONK,1.0425e-05
DOGIRA,1e-07
NEWPEPE,1e-07
ASK,0.00037337792595711484
ELE,1e-07
AIMX,1e-07
COT,1e-07
ANRX,1e-07
USDT,0.998995
POKER,1e-07
POLP,1e-07
MV,1e-07
