BTC,41995.445
ETH,2257.025
SOL,93.585
DOT,6.6535
ORCA,4.89235
MATIC,0.7754
SHIB,8.875e-06
ONDO,0.202615
ATOM,9.0345
XTZ,0.9535
API3,2.621
SUPER,0.566585
SWFTC,0.001646
NCT,0.01064
MPL,11.33
AUCTION,23.53
DIA,0.37821
CGLD,0.648
SUKU,0.05025
BONK,1.026e-05
RAI,2.84
ALEPH,0.28135
VARA,0.06545
LDO,2.799
CHZ,0.1016
ARPA,0.05685
RBN,0.4269
AURORA,0.2275
WBTC,42054.8
GAL,1.7565
QI,0.014811
SHPING,0.003861
XYO,0.00519
IOTX,0.040825
SYN,0.6905
HOPR,0.06465
GST,0.0113805
FOX,0.0363
RARE,0.1038
MEDIA,13.995
SPELL,0.0004843
SAND,0.43275
ALGO,0.1576
CLV,0.04465
BIGTIME,0.33435
EUROC,1.08355
HNT,7.154
RNDR,4.3702
ADA,0.49115
ICP,11.34
ARB,1.7088
